Headline,Published Timestamp,Funding Amount (Million $)
Amazon-backed X-energy bags $700M more for itty nuke reactors that don't exist yet,2025-02-06T23:03:49Z,700.0
TrueFoundry nabs $19M for its LLM management platform,2025-02-06T22:15:47Z,19.0
TrueFoundry nabs $19M for its AI model management platform,2025-02-06T22:15:47Z,19.0
Pour one out for Cruise and why autonomous vehicle test miles dropped 50% | TechCrunch,2025-02-06T21:37:42Z,50.0
Future of Sport Lab Celebrates 10 Years of SportsTech Innovation with the Launch of its 2025 Cohort,2025-02-06T19:02:51Z,10.0
"TrueFoundry, which helps enterprises deploy AI systems at scale, raised $19M led by Intel Capital, taking its total funding to $21M+, and claims 30 customers",2025-02-06T18:14:42Z,19.0
DevAI raises $6M to automate infrastructure management with AI agents,2025-02-06T15:00:43Z,6.0
Intel Capital fuels TrueFoundry’s $19M funding to help boost AI deployments at scale,2025-02-06T14:09:21Z,19.0
Intel Capital fuels TrueFoundry's $19M funding to help boost AI deployments at scale | TechCrunch,2025-02-06T14:02:06Z,19.0
The Game Company raises $10M on blockchain-based cloud gaming,2025-02-06T14:00:00Z,10.0
GenAI music-rights startup Musical AI raises $2.1m funding,2025-02-06T13:20:00Z,2.1
"Astra Security raises $2.7 million from Emergent Ventures, others",2025-02-06T10:31:47Z,2.7
Y Combinator's Spring 2025 application deadline is approaching. Here's what the startup accelerator is looking for in AI ideas — from AI agents to data centers.,2025-02-06T10:00:03Z,2025.0
Avelios nabs $31M led by Sequoia to fix the ailing world of healthcare IT | TechCrunch,2025-02-06T08:41:42Z,31.0
European VC firm Emblem raises $85 million for its initial fund | TechCrunch,2025-02-06T07:17:30Z,85.0
Neofin Secures $7M Seed Round to Revolutionize Accounts Receivable in Brazil with AI-Powered Solutions,2025-02-05T18:12:00Z,7.0
"AI search unicorn Glean just became a $100 million business, and it has plenty of room to grow",2025-02-05T17:06:23Z,100.0
Nutrition startup Fay just landed $50 million in Series B funding at a $500 million valuation led by Goldman Growth Equity,2025-02-05T16:44:46Z,50.0
Sam Altman’s Fusion Power Startup Is Eyeing Trump’s $500 Billion AI Play,2025-02-05T16:18:49Z,500.0
"Cherry Ventures raises a new $500M fund for early stage and beyond, but will it be enough? | TechCrunch",2025-02-05T14:12:22Z,500.0
Astra raises $2.7M to simplify cybersecurity by mimicking hacker behavior with AI-powered solutions,2025-02-05T14:00:10Z,2.7
"Little Otter, AI-powered family mental health startup, raises $9.5 million in funding",2025-02-05T12:02:38Z,9.5
New 7AI platform deploys autonomous AI agents to streamline security operations,2025-02-05T11:00:37Z,7.0
"BT Exclusive: Karnataka’s start-up, manufacturing sectors set for global growth; Rs 1.15 lakh cr secured, says MB Patil",2025-02-05T10:37:01Z,1.15
PUBG Developer Krafton Co-Leads $53 Million Funding Round In India’s Payments Startup Cashfree,2025-02-05T10:00:08Z,53.0
Alexis Ohanian-Backed AI Startup Plot Raises $4.1M to Decode Social Video,2025-02-04T18:19:10Z,4.1
Sotira lands $2M to help brands offload and monetize their surplus inventory,2025-02-04T15:02:51Z,2.0
Hair Originals raises $5 million in Series A funding,2025-02-04T14:50:09Z,5.0
OpenAI’s Asian alliance; Krutrim 2.0,2025-02-04T13:29:28Z,2.0
Canada's StackAdapt snaps up $235M for its AI-based programmatic platform | TechCrunch,2025-02-04T13:19:00Z,235.0
